0,1,2,3
-0.12937094193505608,-0.1789590995365228,-0.20911651087405037,-0.2110497188094666
-0.12929227095252913,-0.1766793418512926,-0.20816608900406072,-0.21089255941254648
-0.13200158479778137,-0.18021380002687104,-0.20986891271403812,-0.21139023020101957
-0.1343004432985932,-0.18247151889490976,-0.20871287448128184,-0.21078994075780563
-0.13124453428404095,-0.17641770969796483,-0.20876468798670447,-0.2100545479688663
-0.13190938426346713,-0.17846574246160474,-0.2112215518290482,-0.2123969538931516
-0.1308918779210081,-0.1777281481814968,-0.20918877580642384,-0.21132757522532128
-0.1327163396409043,-0.18046797278692855,-0.20886737563264166,-0.21170518644542818
-0.1278820919172787,-0.1766857630310284,-0.20612037812006762,-0.20793631499907508
-0.13247617949664237,-0.17868800682932565,-0.20923562774226426,-0.2112439855370067
